City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Avarua,CK,2021-11-23 18:08:09,-21.2078,-159.775,75.25,69,99,6.91
219,Gat,IL,2021-11-23 18:08:09,31.61,34.7642,64.81,69,1,3.91
220,Nardaran,AZ,2021-11-23 18:08:10,40.5561,50.0056,53.24,76,0,9.22
221,Villarrica,PY,2021-11-23 18:08:10,-25.75,-56.4333,93.13,35,80,5.12
222,Castro Daire,PT,2021-11-23 18:08:10,40.8984,-7.9338,49.53,90,95,3.49
223,Isangel,VU,2021-11-23 18:08:11,-19.55,169.2667,76.8,86,100,8.25
224,Clearwater,US,2021-11-23 18:07:29,27.9659,-82.8001,68.09,48,1,10.0
225,Sesheke,ZM,2021-11-23 18:08:11,-17.4759,24.2968,79.47,43,92,3.49
226,Mokhsogollokh,RU,2021-11-23 18:08:12,61.4681,128.9203,-10.53,87,100,1.68
227,Saint Anthony,US,2021-11-23 18:08:12,45.0205,-93.218,49.05,47,1,7.0
228,Ust-Tsilma,RU,2021-11-23 18:08:13,65.441,52.1498,9.54,97,92,4.59
229,Palaia Fokaia,GR,2021-11-23 18:09:13,37.72,23.9463,65.75,88,100,7.16
230,Zhigansk,RU,2021-11-23 18:09:14,66.7697,123.3711,-37.61,100,96,4.05
231,Rawson,AR,2021-11-23 18:09:14,-43.3002,-65.1023,81.21,29,98,30.22
232,Tyrma,RU,2021-11-23 18:09:15,50.0833,132.1667,28.08,84,100,10.09
233,Ibra,OM,2021-11-23 18:09:15,22.6906,58.5334,70.23,22,81,2.75
234,Cabo San Lucas,MX,2021-11-23 18:09:15,22.8909,-109.9124,83.61,65,20,4.0
235,Grand Gaube,MU,2021-11-23 18:09:16,-20.0064,57.6608,73.38,83,54,1.99
236,Bar Harbor,US,2021-11-23 18:09:16,44.3876,-68.2039,37.62,53,1,10.36
237,Tanete,ID,2021-11-23 18:09:17,-3.9443,119.7848,76.08,92,100,1.19
238,Bishop Auckland,GB,2021-11-23 18:09:17,54.6555,-1.6771,47.41,84,14,3.94
239,Lompoc,US,2021-11-23 18:09:18,34.6391,-120.4579,76.08,55,21,8.01
240,Tuatapere,NZ,2021-11-23 18:07:48,-46.1333,167.6833,47.37,91,96,3.04
241,Saint Stephen,GB,2021-11-23 18:05:10,50.3333,-4.9,45.75,87,20,6.91
242,Paamiut,GL,2021-11-23 18:05:18,61.994,-49.6678,33.17,57,100,29.53
243,Chitral,PK,2021-11-23 18:09:19,35.8462,71.7858,46.38,44,19,4.61
244,Glens Falls,US,2021-11-23 18:08:03,43.3095,-73.644,37.47,50,1,4.0
245,Cherskiy,RU,2021-11-23 18:09:19,68.75,161.3,-33.43,100,46,4.54
246,Lom Sak,TH,2021-11-23 18:09:20,16.7798,101.2422,70.57,80,79,4.74
247,Dovers,VC,2021-11-23 18:09:20,12.8833,-61.1833,80.85,76,21,13.42
248,Pisco,PE,2021-11-23 18:09:21,-13.7,-76.2167,69.85,73,0,13.8
249,Shima,CN,2021-11-23 18:09:21,24.4478,117.8111,54.03,76,0,2.55
250,Valleyview,CA,2021-11-23 18:05:14,55.0667,-117.2859,7.56,82,99,8.68
251,College,US,2021-11-23 18:09:22,64.8569,-147.8028,1.35,57,75,5.75
252,Chimore,BO,2021-11-23 18:09:22,-16.9833,-65.1333,84.54,82,99,0.94
253,Fortuna,US,2021-11-23 18:09:23,40.5982,-124.1573,54.32,85,1,1.99
254,Tesalia,CO,2021-11-23 18:09:23,2.4859,-75.7292,80.44,69,63,3.11
255,Bend,US,2021-11-23 18:07:06,44.0582,-121.3153,42.66,78,1,3.0
256,Leningradskiy,RU,2021-11-23 18:09:24,69.3833,178.4167,-14.13,80,67,4.56
257,Sao Filipe,CV,2021-11-23 18:09:24,14.8961,-24.4956,80.94,67,24,4.03
258,Mirabad,AF,2021-11-23 18:09:24,30.4362,61.8383,64.06,19,4,2.84
259,El Alto,PE,2021-11-23 18:09:25,-4.2714,-81.2147,74.86,71,60,12.84
260,Nantucket,US,2021-11-23 18:09:25,41.2835,-70.0995,41.97,62,98,27.0
261,Sakhon Nakhon,TH,2021-11-23 18:09:25,17.1612,104.1472,62.62,77,41,7.63
262,Longyearbyen,SJ,2021-11-23 18:09:26,78.2186,15.6401,4.84,78,20,11.5
263,Hue,VN,2021-11-23 18:09:26,16.4667,107.6,66.31,94,75,13.8
264,Nueva Imperial,CL,2021-11-23 18:09:26,-38.7333,-72.95,79.45,32,0,10.58
265,Port Lincoln,AU,2021-11-23 18:09:27,-34.7333,135.8667,61.02,90,31,1.92
266,Gamba,GA,2021-11-23 18:09:27,-2.65,10.0,75.52,88,100,2.68
267,San Patricio,US,2021-11-23 18:09:28,28.017,-97.5169,75.29,46,56,6.08
268,Elmshorn,DE,2021-11-23 18:09:28,53.75,9.65,47.23,85,96,1.01
